Select the country where your practice is located.,Where is your primary surgery location?,How many years have you been in practice post training?,Are you an ESCRS delegate?,Q_PHACO_DEFAULT,Q_PRESBYOPIA_DEFAULT,Q_ASTIGMATISM_DEFAULT,Q_REFRACTIVE_DEFAULT,Q_OCULARSURFACE_DEFAULT,Q_GLAUCOMA_DEFAULT,Q_RETINA_DEFAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Hospital-owned clinic,21-30 years,"No, and I have no plans to become a delegate",,Enhanced Monofocal IOLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,Private hospital,11-20 years,"No, but I plan to become a delegate in the next 12 months",Divide and conquer,Extended depth of focus IOLs,,Topography-customized,51-99,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, South",Surgeon-owned clinic,11-20 years,Yes,,Extended depth of focus IOLs,Digital image registration,Femtosecond intrastromal lenticule extraction ,100 or more,I do not perform surgical interventions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,Surgeon-owned clinic,Over 30 years,Yes,,Trifocal IOLs,Digital image registration,Other,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Public hospital,11-20 years,Yes,,Extended depth of focus IOLs,Ink marking at the slit lamp with no additional instruments,,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Private hospital,11-20 years,"No, and I have no plans to become a delegate",,Trifocal IOLs,,Femtosecond intrastromal lenticule extraction ,11-25,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Corporate-owned clinic,Over 30 years,Yes,,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Wavefront-optimized,10-Jun,After two medications,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Public hospital,11-20 years,"No, but I plan to become a delegate in the next 12 months",,,,,51-99,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Retired or do not currently perform surgery,Over 30 years,"No, but I plan to become a delegate in the next 12 months",,,,,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Private hospital,21-30 years,Yes,,Extended depth of focus IOLs,Digital image registration,Femtosecond intrastromal lenticule extraction ,26-50,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Public hospital,Currently in training,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Public hospital,Over 30 years,Yes,Horizontal chop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Public hospital,21-30 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,,,11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Public hospital,0-5 years,Yes,,,,,100 or more,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Corporate-owned clinic,21-30 years,"No, but I plan to become a delegate in the next 12 months",,Enhanced Monofocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,10-Jun,After two medications,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Corporate-owned clinic,6-10 years,Yes,Divide and conquer,,,,11-25,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Hospital-owned clinic,11-20 years,Yes,,,,,51-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Private hospital,0-5 years,"No, but I plan to become a delegate in the next 12 months",,Trifocal IOLs,,,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Corporate-owned clinic,Over 30 years,"No, and I have no plans to become a delegate",,Extended depth of focus IOLs,,,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Surgeon-owned clinic,21-30 years,Yes,,Extended depth of focus IOLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,Surgeon-owned clinic,11-20 years,Yes,Vertical chop,Bifocal IOLs,,,11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Public hospital,21-30 years,Yes,,,,,26-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Private hospital,Over 30 years,Yes,,Extended depth of focus IOLs,Digital image registration,Femtosecond intrastromal lenticule extraction ,100 or more,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Academic institution or non-profit,11-20 years,Yes,Divide and conquer,Trifocal IOLs,,,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Public hospital,Over 30 years,Yes,Divide and conquer,Extended depth of focus IOLs,Ink marking at the slit lamp with no additional instruments,,100 or more,After three medications,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Public hospital,6-10 years,"No, and I have no plans to become a delegate",,,,,26-50,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Public hospital,11-20 years,"No, and I have no plans to become a delegate",,Enhanced Monofocal IOLs,Ink marking at the slit lamp with no additional instruments,Other,100 or more,After three medications,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Surgeon-owned clinic,6-10 years,"No, but I plan to become a delegate in the next 12 months",,,,Femtosecond intrastromal lenticule extraction ,10-Jun,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,Private hospital,11-20 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Retired or do not currently perform surgery,Over 30 years,"No, and I have no plans to become a delegate",,,,,None,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,Private hospital,11-20 years,"No, and I have no plans to become a delegate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Private hospital,21-30 years,"No, but I plan to become a delegate in the next 12 months",,,,,100 or more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Hospital-owned clinic,0-5 years,Yes,Horizontal chop,,,Standard ablations,51-99,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Academic institution or non-profit,11-20 years,"No, but I plan to become a delegate in the next 12 months",Vertical chop,Extended depth of focus IOLs,,,26-50,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,Private hospital,11-20 years,Yes,Stop and chop,Extended depth of focus IOLs,,Wavefront-customized,100 or more,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,Private hospital,11-20 years,Yes,,,,Topography-customized,26-50,,240-400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,Hospital-owned clinic,Over 30 years,Yes,,Enhanced Monofocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,26-50,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,Private hospital,6-10 years,"No, and I have no plans to become a delegate",Horizontal chop,Bifocal IOLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,Other (Please specify.) ,0-5 years,"No, but I plan to become a delegate in the next 12 months",Horizontal chop,,,,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Public hospital,11-20 years,Yes,,Extended depth of focus IOLs,Digital image registration,,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,Surgeon-owned clinic,11-20 years,Yes,,Extended depth of focus IOLs,,Standard ablations,100 or more,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Private hospital,11-20 years,"No, and I have no plans to become a delegate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,Private hospital,Over 30 years,Yes,,Extended depth of focus IOLs,,Wavefront-customized,11-25,After three medications,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,Public hospital,6-10 years,"No, and I have no plans to become a delegate",,,,,11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Private hospital,Over 30 years,"No, but I plan to become a delegate in the next 12 months",Divide and conquer,Trifocal IOLs,Digital image registration,Wavefront-customized,5-Jan,After three medications,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Surgeon-owned clinic,Over 30 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Public hospital,21-30 years,Yes,,,,,26-50,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Hospital-owned clinic,21-30 years,"No, and I have no plans to become a delegate",Other,Trifocal IOLs,Digital image registration,Wavefront-optimized,5-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Corporate-owned clinic,Currently in training,"No, but I plan to become a delegate in the next 12 months",,,,,26-50,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Public hospital,21-30 years,Yes,,Extended depth of focus IOLs,,Wavefront-customized,26-50,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Private hospital,6-10 years,"No, but I plan to become a delegate in the next 12 months",Vertical chop,Trifocal IOLs,Digital image registration,,10-Jun,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Corporate-owned clinic,11-20 years,"No, and I have no plans to become a delegate",,Trifocal IOLs,Digital image registration,Wavefront-customized,26-50,I do not perform surgical interventions,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Private hospital,21-30 years,Yes,,Extended depth of focus IOLs,,Standard ablations,10-Jun,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,Public hospital,6-10 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,,Wavefront-optimized,26-50,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,Public hospital,11-20 years,"No, but I plan to become a delegate in the next 12 months",Divide and conquer,Trifocal IOLs,Ink marking at the slit lamp with no additional instruments,Wavefront-customized,26-50,After three medications,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Private hospital,21-30 years,"No, but I plan to become a delegate in the next 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Surgeon-owned clinic,0-5 years,"No, but I plan to become a delegate in the next 12 months",,,,Other,11-25,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Academic institution or non-profit,Currently in training,"No, but I plan to become a delegate in the next 12 months",,,,,11-25,I do not perform surgical interventions,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,Academic institution or non-profit,21-30 years,Yes,,Trifocal IOLs,,Standard ablations,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Private hospital,Over 30 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Public hospital,11-20 years,Yes,,Enhanced Monofocal IOLs,,,11-25,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Surgeon-owned clinic,Over 30 years,Yes,,,,,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Academic institution or non-profit,11-20 years,"No, but I plan to become a delegate in the next 12 months",,Trifocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Wavefront-customized,100 or more,I do not perform surgical interventions,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Private hospital,11-20 years,Yes,,Extended depth of focus IOLs,Anatomical landmarks without preoperative marking,Femtosecond intrastromal lenticule extraction ,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Public hospital,11-20 years,Yes,,,,,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, South",Academic institution or non-profit,6-10 years,Yes,,Extended depth of focus IOLs,,Standard ablations,100 or more,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Hospital-owned clinic,11-20 years,Yes,Divide and conquer,Extended depth of focus IOLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Surgeon-owned clinic,6-10 years,"No, and I have no plans to become a delegate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Public hospital,11-20 years,Yes,Divide and conquer,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,10-Jun,,81-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Academic institution or non-profit,21-30 years,Yes,,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Private hospital,11-20 years,"No, and I have no plans to become a delegate",,Trifocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Standard ablations,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,Corporate-owned clinic,21-30 years,"No, but I plan to become a delegate in the next 12 months",,Trifocal IOLs,Ink marking at the slit lamp with no additional instruments,Standard ablations,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,Public hospital,Over 30 years,Yes,,Bifocal IOLs,,Wavefront-optimized,10-Jun,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Public hospital,11-20 years,Yes,,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Standard ablations,100 or more,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,Hospital-owned clinic,11-20 years,"No, but I plan to become a delegate in the next 12 months",,Bifocal IOLs,Anatomical landmarks without preoperative marking,,5-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,Surgeon-owned clinic,11-20 years,Yes,Divide and conquer,Trifocal IOLs,,Topography-customized,100 or more,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Private hospital,21-30 years,Yes,,Extended depth of focus IOLs,Ink marking at the slit lamp with no additional instruments,,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Surgeon-owned clinic,11-20 years,"No, but I plan to become a delegate in the next 12 months",Stop and chop,Extended depth of focus IOLs,,Femtosecond intrastromal lenticule extraction ,26-50,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Public hospital,0-5 years,"No, but I plan to become a delegate in the next 12 months",Divide and conquer,,,,11-25,After three medications,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,Private hospital,Over 30 years,"No, and I have no plans to become a delegate",,,,,100 or more,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Surgeon-owned clinic,Over 30 years,Yes,,Trifocal IOLs,,Wavefront-customized,100 or more,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Private hospital,21-30 years,Yes,,Trifocal IOLs,,Standard ablations,26-50,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,Corporate-owned clinic,11-20 years,Yes,,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,51-99,I do not perform surgical interventions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Public hospital,0-5 years,Yes,Stop and chop,Extended depth of focus IOLs,,Wavefront-optimized,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Private hospital,11-20 years,Yes,Vertical chop,Trifocal IOLs,,,26-50,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,Surgeon-owned clinic,21-30 years,Yes,,Trifocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Femtosecond intrastromal lenticule extraction ,100 or more,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,Retired or do not currently perform surgery,6-10 years,"No, but I plan to become a delegate in the next 12 months",,,,,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,Corporate-owned clinic,6-10 years,Yes,Vertical chop,Trifocal IOLs,,Wavefront-optimized,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Surgeon-owned clinic,21-30 years,Yes,Horizontal chop,Trifocal IOLs,Ink marking at the slit lamp with no additional instruments,Wavefront-optimized,26-50,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Public hospital,11-20 years,Yes,Vertical chop,,,,26-50,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Surgeon-owned clinic,Over 30 years,Yes,,Trifocal IOLs,,Wavefront-optimized,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Corporate-owned clinic,Over 30 years,Yes,,Trifocal IOLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Public hospital,Currently in training,Yes,,,,,10-Jun,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Private hospital,Over 30 years,"No, and I have no plans to become a delegate",,,,,10-Jun,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Public hospital,Over 30 years,"No, but I plan to become a delegate in the next 12 months",Divide and conquer,Trifocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Femtosecond intrastromal lenticule extraction ,26-50,I do not perform surgical interventions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Private hospital,6-10 years,"No, but I plan to become a delegate in the next 12 months",,,,,11-25,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Public hospital,Over 30 years,"No, but I plan to become a delegate in the next 12 months",Stop and chop,Enhanced Monofocal IOLs,Ink marking at the slit lamp with no additional instruments,Wavefront-customized,100 or more,After two medications,121-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Surgeon-owned clinic,21-30 years,Yes,Divide and conquer,Extended depth of focus IOLs,Digital image registration,Standard ablations,51-99,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Public hospital,0-5 years,"No, but I plan to become a delegate in the next 12 months",,Other,,,10-Jun,,121-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Surgeon-owned clinic,Over 30 years,Yes,,Extended depth of focus IOLs,Anatomical landmarks without preoperative marking,Wavefront-customized,10-Jun,I do not perform surgical interventions,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,Public hospital,11-20 years,Yes,Horizontal chop,,,,51-99,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Public hospital,11-20 years,"No, but I plan to become a delegate in the next 12 months",Stop and chop,,,,26-50,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Public hospital,Currently in training,Yes,,,,,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Academic institution or non-profit,21-30 years,"No, and I have no plans to become a delegate",Stop and chop,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,11-25,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Private hospital,0-5 years,Yes,,Extended depth of focus IOLs,,Wavefront-optimized,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,Private hospital,Over 30 years,Yes,,,,,100 or more,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,Surgeon-owned clinic,21-30 years,Yes,,Trifocal IOLs,,Wavefront-optimized,11-25,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,Academic institution or non-profit,21-30 years,Yes,,Extended depth of focus IOLs,,,10-Jun,,81-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Surgeon-owned clinic,0-5 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Private hospital,21-30 years,"No, but I plan to become a delegate in the next 12 months",,Trifocal IOLs,,,51-99,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Private hospital,0-5 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,Public hospital,21-30 years,Yes,Vertical chop,Bifocal IOLs,,Wavefront-customized,51-99,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Private hospital,21-30 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,,Standard ablations,51-99,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Academic institution or non-profit,Over 30 years,Yes,,Extended depth of focus IOLs,,Femtosecond intrastromal lenticule extraction ,51-99,,More than 400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,Academic institution or non-profit,Over 30 years,Yes,,Trifocal IOLs,Ink marking at the slit lamp with no additional instruments,Wavefront-customized,11-25,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Public hospital,21-30 years,"No, and I have no plans to become a delegate",,,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,26-50,,121-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,Private hospital,Over 30 years,"No, and I have no plans to become a delegate",Horizontal chop,,,,11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Academic institution or non-profit,0-5 years,Yes,,Trifocal IOLs,,Standard ablations,11-25,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Public hospital,11-20 years,"No, but I plan to become a delegate in the next 12 months",,,,,11-25,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,Surgeon-owned clinic,21-30 years,"No, but I plan to become a delegate in the next 12 months",Vertical chop,Enhanced Monofocal IOLs,Anatomical landmarks without preoperative marking,,10-Jun,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Surgeon-owned clinic,6-10 years,Yes,,Trifocal IOLs,Ink marking at the slit lamp with no additional instruments,Wavefront-optimized,11-25,After two medications,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,Academic institution or non-profit,Over 30 years,Yes,,,Anatomical landmarks without preoperative marking,Standard ablations,26-50,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,Public hospital,Over 30 years,"No, but I plan to become a delegate in the next 12 months",,Bifocal IOLs,,Topography-customized,11-25,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
